"","Player","Date","Team","Position","TOI","G","A1","A2","iCF","iFF","iSF","ixG","iSCF","iFOW","iFOL","iPENT","iPEND","iHF","iHA","iGVA","iTKA","iBLK","A","P","P1","G60","A60","P60","P160","iCF60","iFF60","iSF60","ixG60","ixFSh%","iSCF60","iFO%","iPENDIFF","iSh%","iCSh%","iFSh%"
"46","SIDNEY.CROSBY","2016-04-02","PIT","C",15.12,0,0,0,2,1,0,0.02,0,3,15,1,0,0,2,0,2,2,0,0,0,0,0,0,0,7.94,3.97,0,0.09,2.33,0,0.17,-1,NA,0,0
"47","SIDNEY.CROSBY","2016-03-31","PIT","C",15.3,0,0,0,2,1,1,0.04,0,12,7,0,0,0,2,0,2,0,0,0,0,0,0,0,0,7.84,3.92,3.92,0.16,4.07,0,0.63,0,0,0,0
"48","SIDNEY.CROSBY","2016-03-29","PIT","C",16.35,0,0,1,7,3,3,0.09,0,12,10,0,0,1,3,0,0,0,1,1,0,0,3.67,3.67,0,25.69,11.01,11.01,0.34,3.06,0,0.55,0,0,0,0
"49","SIDNEY.CROSBY","2016-03-27","PIT","C",18.59,0,0,0,5,4,2,0.18,0,11,13,0,0,0,3,1,0,0,0,0,0,0,0,0,0,16.14,12.91,6.46,0.58,4.47,0,0.46,0,0,0,0
"50","SIDNEY.CROSBY","2016-03-26","PIT","C",13.16,0,0,1,8,6,4,0.63,2,6,10,0,1,1,0,0,2,0,1,1,0,0,4.56,4.56,0,36.47,27.36,18.24,2.89,10.56,9.12,0.38,1,0,0,0
"51","SIDNEY.CROSBY","2016-03-24","PIT","C",16.72,0,0,0,6,5,4,0.4,1,11,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,21.53,17.94,14.35,1.42,7.93,3.59,0.65,0,0,0,0
"52","SIDNEY.CROSBY","2016-03-20","PIT","C",11.37,0,2,0,1,0,0,0,0,5,9,0,0,4,0,0,0,0,2,2,2,0,10.55,10.55,0,5.28,0,0,0,NA,0,0.36,0,NA,0,NA
"53","SIDNEY.CROSBY","2016-03-19","PIT","C",14.44,0,1,0,3,2,2,0.25,1,8,9,0,0,0,0,1,0,1,1,1,1,0,4.16,4.16,0,12.47,8.31,8.31,1.05,12.66,4.16,0.47,0,0,0,0
"54","SIDNEY.CROSBY","2016-03-17","PIT","C",14.73,2,0,0,4,3,3,0.34,1,9,7,0,0,0,1,0,0,0,0,2,2,8.15,0,8.15,8.15,16.29,12.22,12.22,1.39,11.35,4.07,0.56,0,66.67,50,66.67
"55","SIDNEY.CROSBY","2016-03-15","PIT","C",17.58,0,0,1,7,5,4,0.12,0,12,6,0,1,6,2,1,1,1,1,1,0,0,3.41,3.41,0,23.89,17.06,13.65,0.4,2.34,0,0.67,1,0,0,0
"56","SIDNEY.CROSBY","2016-03-13","PIT","C",16.1,0,0,0,7,5,2,0.36,2,9,4,0,0,0,3,1,0,2,0,0,0,0,0,0,0,26.09,18.63,7.45,1.32,7.11,7.45,0.69,0,0,0,0
"57","SIDNEY.CROSBY","2016-03-11","PIT","C",15.77,0,0,1,4,3,1,0.2,1,6,8,1,0,1,0,0,0,0,1,1,0,0,3.8,3.8,0,15.22,11.41,3.8,0.75,6.57,3.8,0.43,-1,0,0,0
"58","SIDNEY.CROSBY","2016-03-08","PIT","C",16.64,0,0,0,3,1,1,0.06,0,3,10,0,0,0,2,0,1,1,0,0,0,0,0,0,0,10.82,3.61,3.61,0.2,5.58,0,0.23,0,0,0,0
"59","SIDNEY.CROSBY","2016-03-06","PIT","C",12.04,0,1,0,3,2,2,0.05,0,5,8,0,0,0,0,0,1,0,1,1,1,0,4.98,4.98,0,14.95,9.97,9.97,0.24,2.43,0,0.38,0,0,0,0
"60","SIDNEY.CROSBY","2016-03-05","PIT","C",15.98,2,0,0,7,6,6,0.55,4,11,12,0,0,1,2,0,0,1,0,2,2,7.51,0,7.51,7.51,26.28,22.53,22.53,2.07,9.19,15.02,0.48,0,33.33,28.57,33.33
"61","SIDNEY.CROSBY","2016-03-03","PIT","C",17.94,1,0,0,3,2,2,0.26,1,10,9,1,0,1,0,1,0,0,0,1,1,3.34,0,3.34,3.34,10.03,6.69,6.69,0.88,13.18,3.34,0.53,-1,50,33.33,50
"62","SIDNEY.CROSBY","2016-03-01","PIT","C",15.85,0,0,1,0,0,0,0,0,7,8,0,0,2,1,0,0,1,1,1,0,0,3.79,3.79,0,0,0,0,0,NA,0,0.47,0,NA,NA,NA
